30-Apr-2019 14:34:08
Sound experiment logfile
Participant 5

sound1,sound2,response
5,6,2
25,38,1
2,19,1
7,9,2
21,22,2
27,38,1
28,38,1
8,9,2
4,5,1
9,7,2
19,7,2
24,23,1
27,26,1
19,9,2
25,23,1
19,6,2
38,20,2
19,5,2
22,21,2
19,3,2
5,4,2
19,4,2
8,7,1
19,2,2
38,24,2
6,5,1
38,26,2
38,27,2
28,27,2
38,28,2
9,8,2
28,26,1
3,1,1
38,22,2
3,2,1
38,25,2
19,1,2
21,20,1
22,20,1
2,1,2
6,4,1
38,21,2
25,24,2
38,23,2
19,8,2
10,1,1
31,22,2
10,1,1
3,12,2
29,20,1
22,31,2
20,29,2
30,21,1
22,31,1
2,11,2
2,11,2
30,21,2
11,2,1
30,21,2
12,3,1
21,30,1
10,1,2
3,12,1
11,2,2
31,22,2
2,11,2
3,12,1
1,10,1
21,30,2
1,10,2
12,3,2
29,20,1
21,30,2
31,22,2
20,29,1
20,29,2
1,10,2
12,3,2
29,20,2
11,2,1
22,31,1
